CHANNEL1,CHANNEL2,CHANNEL3,ENTRY AGE,SEX,POLICY TYPE 1,POLICY TYPE 2,POLICY TYPE 3,PAYMENT MODE,POLICY STATUS,BENEFIT,NON LAPSE GUARANTEED,SUBSTANDARD RISK,NUMBER OF ADVANCE PREMIUM,INITIAL BENEFIT,Full Benefit?,Policy Year (Decimal),Policy Year,Premium,Issue Date
1,1,1,36,M,2,3,A,Monthly,Lapse,60000,NO NLG,0,0,0,N,6.833333333,7,250,12-Oct
1,1,1,29,F,2,3,A,Monthly,Lapse,60000,NO NLG,0,0,0,N,6.666666667,7,227,12-Dec
1,1,1,23,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.666666667,7,64,12-Dec
1,1,1,29,M,2,3,A,Monthly,Lapse,54000,NO NLG,50,0,0,N,6.583333333,7,176,13-Jan
1,1,1,32,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,6.583333333,7,63,13-Jan
1,1,1,52,M,1,4,A,Monthly,Lapse,140000,NO NLG,0,0,0,N,6.5,7,212,13-Feb
1,1,10,21,F,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,5.833333333,6,58,13-Oct
1,1,10,21,F,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,5.833333333,6,58,13-Oct
1,1,3,24,F,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,5.833333333,6,61,13-Oct
1,1,13,23,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,5.833333333,6,200,13-Oct
1,1,10,29,M,2,3,A,Monthly,Expired,20000,NO NLG,0,0,0,N,5.666666667,6,65,13-Dec
1,1,2,30,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,5.416666667,6,60,14-Mar
1,1,1,34,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,5.416666667,6,73,14-Mar
1,1,1,36,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,3.666666667,4,253,15-Dec
1,1,8,31,M,9,51,A,Annually,Lapse,50000,NO NLG,0,0,0,N,3.416666667,4,46,16-Mar
1,1,8,31,M,9,30,E,Annually,Lapse,50000,NO NLG,0,0,0,N,3.416666667,4,24,16-Mar
1,1,8,31,M,9,36,E,Annually,Lapse,2500,NO NLG,0,0,0,N,3.416666667,4,3,16-Mar
1,1,6,52,F,9,51,A,Monthly,Lapse,50000,NO NLG,0,0,0,N,3.416666667,4,70,16-Mar
1,1,6,52,F,9,31,E,Monthly,Lapse,1250,NO NLG,0,0,0,N,3.416666667,4,76,16-Mar
1,1,6,52,F,9,36,E,Monthly,Lapse,2500,NO NLG,0,0,0,N,3.416666667,4,5,16-Mar
1,1,6,52,F,9,37,E,Monthly,Lapse,,NO NLG,0,0,0,N,3.416666667,4,19,16-Mar
1,1,1,46,M,9,30,E,Annually,Lapse,50000,NO NLG,0,0,0,N,3.333333333,4,34,16-Apr
1,1,1,46,M,9,32,E,Annually,Lapse,60,NO NLG,0,0,0,N,3.333333333,4,51,16-Apr
1,1,1,46,M,9,36,E,Annually,Lapse,2500,NO NLG,0,0,0,N,3.333333333,4,5,16-Apr
1,1,18,22,F,2,3,A,Monthly,Lapse,74000,NO NLG,0,0,0,N,8,9,242,11-Aug
1,1,1,27,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,8,9,151,11-Aug
1,1,1,32,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,8,9,200,11-Aug
1,1,1,33,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,151,11-Sep
1,1,15,27,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,216,11-Sep
1,1,6,25,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.916666667,8,148,11-Sep
1,1,11,37,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,200,11-Sep
